Top pages,Clicks,Impressions,CTR,Position
https://thewcag.com/examples/accessible-input-fields,5,100,5%,10.62
https://thewcag.com/lawsuits/darnell-williams-v-rowing-blazers-2025,5,27,18.52%,5.48
https://thewcag.com/examples/tables,4,89,4.49%,8.02
https://thewcag.com/lawsuits/darnell-williams-v-pete-and-pedro-2025,3,31,9.68%,7.65
https://thewcag.com/examples/pagination,3,28,10.71%,7.36
https://thewcag.com/lawsuits/french-retailers-eaa-2025,2,119,1.68%,6.53
https://thewcag.com/,2,77,2.6%,64.95
https://thewcag.com/checklist,1,141,0.71%,83.47
https://thewcag.com/criteria/2.5.7,1,114,0.88%,9.32
https://thewcag.com/lawsuits/malone-v-disney-das-policy-2024,1,76,1.32%,10.91
https://thewcag.com/criteria/3.1.4,1,43,2.33%,7.33
https://thewcag.com/examples/dropdowns-selects,1,40,2.5%,12.93
https://thewcag.com/criteria/1.3.5,1,36,2.78%,9
https://thewcag.com/examples/cards,1,30,3.33%,10.4
https://thewcag.com/tools/convert/text-to-html,1,13,7.69%,83.23
https://thewcag.com/lawsuits/constance-henry-v-mountain-hardwear-2025,1,7,14.29%,4.71
https://www.thewcag.com/blog/why-is-accessibility-being-delinked-from-disability,1,5,20%,29.4
http://thewcag.com/,1,3,33.33%,1.67
https://thewcag.com/blog/is-accessibility-work-safe-from-ai-in-the-near-future,1,3,33.33%,9
https://thewcag.com/lawsuits/april-2025-accessibility-litigation-continued,1,2,50%,6
https://thewcag.com/myths,1,2,50%,8
https://thewcag.com/criteria/3.3.1,0,2135,0%,7.73
https://thewcag.com/criteria/1.4.1,0,701,0%,9.74
https://thewcag.com/criteria/2.4.13,0,460,0%,9
https://thewcag.com/criteria/2.4.3,0,417,0%,7.84
https://www.thewcag.com/criteria/2.5.8,0,392,0%,10.25
https://thewcag.com/criteria/3.3.3,0,349,0%,9.41
https://thewcag.com/criteria/1.2.2,0,324,0%,9.11
https://thewcag.com/criteria/1.4.11,0,294,0%,11.49
https://thewcag.com/criteria/2.4.1,0,248,0%,9.47
https://thewcag.com/criteria/3.3.6,0,225,0%,6.57
https://thewcag.com/criteria/3.2.3,0,213,0%,8.22
https://thewcag.com/criteria/1.4.8,0,180,0%,8.62
https://thewcag.com/criteria/1.4.5,0,132,0%,9.43
https://thewcag.com/wcag-3-0,0,130,0%,15.62
https://thewcag.com/criteria/1.2.1,0,128,0%,8.47
https://www.thewcag.com/resources,0,122,0%,73.93
https://thewcag.com/criteria/2.4.9,0,93,0%,9.8
https://thewcag.com/criteria/2.2.2,0,85,0%,9.69
https://thewcag.com/accessibility-audit-guide,0,83,0%,76.47
https://www.thewcag.com/checklist,0,79,0%,82.68
https://thewcag.com/criteria/3.2.2,0,66,0%,9.21
https://thewcag.com/examples/modals-dialogs,0,60,0%,10.72
https://thewcag.com/tools,0,59,0%,72.86
https://thewcag.com/criteria/1.2.6,0,54,0%,8.09
https://thewcag.com/services/accessibility-remediation,0,53,0%,49.55
https://thewcag.com/examples/progress-indicators,0,50,0%,9.16
