Top queries,Clicks,Impressions,CTR,Position
darnell williams ada,5,7,71.43%,5
darnell williams ada compliance,1,9,11.11%,7.33
wcag pagination example,1,1,100%,4
understanding success criterion 3.3.3 error suggestion w3c,0,210,0%,8.95
wcag 2.2 error identification 3.3.1,0,160,0%,8.91
understanding success criterion 2.5.8 target size (minimum) w3c,0,115,0%,9.1
wcag 2.2 error identification 3.3.1 w3c,0,87,0%,7.82
understanding success criterion 3.3.1 error identification w3c,0,83,0%,9.84
wcag aa checklist,0,75,0%,81.16
wcag 3.3.1 error identification w3c,0,72,0%,8.85
understanding success criterion 1.4.1 use of color w3c,0,53,0%,10.06
wcag 2.2 3.3.1 error identification,0,50,0%,9.08
wcag 2.2 success criterion 3.3.1 error identification,0,47,0%,9.68
wcag 2.2 success criterion 1.4.1 use of color w3c,0,46,0%,9.13
wcag 2.2 3.3.1 error identification w3c,0,41,0%,7.07
wcag 2.2 use of color 1.4.1 w3c,0,40,0%,9.5
w3c wcag error identification 3.3.1,0,40,0%,9.65
wcag checklist,0,40,0%,96.42
understanding success criterion 1.2.2 captions (prerecorded) w3c,0,39,0%,8.46
w3c wcag 3.3.1 error identification,0,38,0%,9.16
wcag 2.2 error identification success criterion,0,37,0%,5.49
understanding success criterion 3.3.1 error identification wcag 2.2,0,35,0%,6.49
wcag error identification 3.3.1 w3c,0,34,0%,9.94
wcag 2.2 checklist,0,34,0%,78.29
wcag 2.2 3.3.1 error identification understanding,0,31,0%,8.32
understanding success criterion 3.2.2 on input w3c,0,29,0%,8.45
wcag compliance tool,0,29,0%,74.1
wcag 2.2 error identification success criterion 3.3.1,0,28,0%,8.11
w3c wcag 2.2 success criterion 1.2.2 captions (prerecorded),0,28,0%,9
understanding success criterion 2.4.3 focus order wcag 2.2,0,27,0%,6.44
w3c wcag 2.2 error identification 3.3.1,0,27,0%,6.52
w3c understanding success criterion 3.3.1 error identification,0,27,0%,9.11
wcag 2.2 focus order guideline,0,25,0%,5.72
wcag 2.2 use of color success criterion 1.4.1 w3c,0,25,0%,7.56
wcag 2.2 focus order 2.4.3 w3c,0,25,0%,8.24
wcag 2.2 success criterion 1.2.2 captions (prerecorded) w3c,0,25,0%,9.56
wcag 2.0 aa checklist,0,25,0%,86.68
wcag 2.2 error identification 3.3.1 understanding,0,23,0%,8.17
webaim wcag checklist,0,23,0%,94.96
wcag 2.2 success criterion 3.3.1 error identification w3c,0,22,0%,6.86
w3c understanding success criterion 3.3.3 error suggestion,0,22,0%,9.5
wcag use of color success criterion 1.4.1 w3c,0,22,0%,9.64
wcag 2.2 success criterion 1.4.1 use of color,0,22,0%,10.55
understanding success criterion 3.3.3 error suggestion,0,20,0%,9.3
wcag 2.2 use of color success criterion 1.4.1,0,20,0%,10.7
wcag 2.2 error identification success criteria,0,19,0%,6.68
wcag 2.2 2.4.3 focus order w3c,0,19,0%,9.16
wcag compliance auditor,0,19,0%,83.32
w3c wcag 2.2 success criterion 3.3.1 error identification,0,18,0%,4.94
wcag 3.3.1 error identification w3c understanding,0,18,0%,8.78
wcag 2.2 dragging movements success criterion,0,18,0%,9.39
wcag testing checklist,0,18,0%,89.89
"understanding success criterion 2.2.2 pause, stop, hide w3c",0,17,0%,9.18
wcag website remediation,0,17,0%,54.82
wcag aaa checklist,0,17,0%,92.24
"w3c understanding success criterion 2.2.2 pause, stop, hide",0,16,0%,8.38
w3c wcag 2.2 success criterion 1.4.1 use of color,0,16,0%,8.75
understanding success criterion 3.2.3 consistent navigation w3c,0,16,0%,9.31
accessibility statement generator,0,16,0%,59.62
w3c wcag 2.2 focus order 2.4.3,0,15,0%,7.47
wcag 2.2 focus appearance w3c,0,15,0%,8.13
understanding success criterion 1.4.1 use of color wcag 2.2,0,15,0%,9
wcag 2.2 error identification,0,14,0%,6.86
w3c understanding success criterion 1.2.2 captions (prerecorded),0,14,0%,8.71
w3c understanding 3.3.1 error identification,0,14,0%,8.93
wcag 2.2 bypass blocks 2.4.1 w3c,0,14,0%,9.86
wcag checker,0,14,0%,85.71
